a b c = r_triangle a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; d = midpoint d a c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; d = midpoint d a c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; f = on_line f b c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; f = on_line f b c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; d = midpoint d a c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; g = foot g a b c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; g = foot g a b c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; d = midpoint d a c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; d = midpoint d a c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; k = angle_bisector b a c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; k = angle_bisector b a c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; d = midpoint d a c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; t = on_bline b a ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; t = on_bline b a ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; d = midpoint d a c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; d = midpoint d a c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; n = on_pline n a b c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; n = on_pline n a b c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; d = midpoint d a c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; m = mirror m a c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; m = mirror m a c ? cong d a d c
a b c = r_triangle a b c; d = midpoint d a c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; d = midpoint d a c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; f = on_line f b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; o = circle o a b c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; f = on_line f b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; f = on_line f b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; d = midpoint d a c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; f = on_line f b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; g = foot g a b c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; f = on_line f b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; f = on_line f b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; k = angle_bisector b a c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; f = on_line f b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; t = on_bline b a ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; f = on_line f b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; f = on_line f b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; n = on_pline n a b c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; f = on_line f b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c; m = mirror m a c ? coll f c c
a b c = r_triangle a b c; f = on_line f b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; f = on_line f b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; g = foot g a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; o = circle o a b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; o = circle o a b c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; g = foot g a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; g = foot g a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; d = midpoint d a c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; d = midpoint d a c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; g = foot g a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; g = foot g a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; f = on_line f b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; f = on_line f b c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; k = angle_bisector b a c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; k = angle_bisector b a c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; g = foot g a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; t = on_bline b a ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; t = on_bline b a ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; g = foot g a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; g = foot g a b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; n = on_pline n a b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; n = on_pline n a b c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; g = foot g a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c; m = mirror m a c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c; m = mirror m a c ? perp g a b c
a b c = r_triangle a b c; g = foot g a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; g = foot g a b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; k = angle_bisector b a c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; o = circle o a b c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; k = angle_bisector b a c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; k = angle_bisector b a c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; d = midpoint d a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; k = angle_bisector b a c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; k = angle_bisector b a c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; f = on_line f b c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; k = angle_bisector b a c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; g = foot g a b c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; k = angle_bisector b a c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; t = on_bline b a ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; k = angle_bisector b a c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; k = angle_bisector b a c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; n = on_pline n a b c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; k = angle_bisector b a c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c; m = mirror m a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; k = angle_bisector b a c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; k = angle_bisector b a c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; t = on_bline b a; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; o = circle o a b c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; o = circle o a b c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; t = on_bline b a; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; t = on_bline b a; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; d = midpoint d a c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; d = midpoint d a c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; t = on_bline b a; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; t = on_bline b a; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; f = on_line f b c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; f = on_line f b c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; t = on_bline b a; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; g = foot g a b c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; g = foot g a b c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; t = on_bline b a; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; t = on_bline b a; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; k = angle_bisector b a c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; k = angle_bisector b a c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; n = on_pline n a b c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; n = on_pline n a b c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; t = on_bline b a; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a; m = mirror m a c ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a; m = mirror m a c ? eqangle a b a b b a b b
a b c = r_triangle a b c; t = on_bline b a; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; t = on_bline b a; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; n = on_pline n a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; o = circle o a b c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; n = on_pline n a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; n = on_pline n a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; d = midpoint d a c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; n = on_pline n a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; n = on_pline n a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; f = on_line f b c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; n = on_pline n a b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; g = foot g a b c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; n = on_pline n a b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; n = on_pline n a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; k = angle_bisector b a c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; n = on_pline n a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; t = on_bline b a ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; n = on_pline n a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c; m = mirror m a c ? para n a b c
a b c = r_triangle a b c; n = on_pline n a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; n = on_pline n a b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; o = circle o a b c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; o = circle o a b c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; m = mirror m a c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; m = mirror m a c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; d = midpoint d a c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; d = midpoint d a c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; m = mirror m a c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; m = mirror m a c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; f = on_line f b c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; f = on_line f b c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; m = mirror m a c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; g = foot g a b c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; g = foot g a b c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; m = mirror m a c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; m = mirror m a c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; k = angle_bisector b a c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; k = angle_bisector b a c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; m = mirror m a c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; t = on_bline b a ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; t = on_bline b a ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; m = mirror m a c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; m = mirror m a c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c; n = on_pline n a b c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c; n = on_pline n a b c ? coll m a c
a b c = r_triangle a b c; m = mirror m a c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c ? coll m a c
